mot_latin,traduction_fr,forme_complete,genre,declinaison,derives,sg_pl_lesdeux,lesson
Troia,Troie,"Troia, ae, f",f,1,,,1
Asia,l'Asie,"Asia, ae, f",f,1,,,1
porta,la porte (de ville),"porta, ae, f",f,1,,,1
copiae,les troupes,"copiae, arum, f",f,1,,pl,1
flamma,la flamme,"flamma, ae, f",f,1,inflammation,,1
Italia,L'italie,"Italia, ae, f",f,1,,,1
populus,le peuple,"populus, i, m",m,2,population,,1
Troianus,le Troyen,"Troianus, i, m",m,2,,,1
Graecus,le grec,"Graecus, i, m",m,2,,,1
murus,le mur,"murus, i, m",m,2,,,1
dolus,la ruse,"dolus, i, m",m,2,,,1
equus,le cheval,"equus, i, m",m,2,équitation,,1
filius,le fils,"filius, i, m",m,2,filial,,1
pugna,le combat,"pugna, ae, f",f,1,pugnace,,2
littera,la lettre (de l'alphabet),"littera, ae, f",f,1,littéraire,,2
(h)arena,"le sable, l'arène","(h)arena, ae, f",f,1,,,2
servus,l'esclave,"servus, i, m",m,2,serviteur,,2
legionarius,le légionaire,"legionarius, i, m",m,2,,,2
Romanus,le Romain,"Romanus, i, m",m,2,,,2
dominus,le maître (de maison),"dominus, i, m",m,2,dominer,,2
medicus,le médecin,"medicus, i, m",m,2,médical,,2
amicus,l'amis,"amicus, i, m",m,2,amical,,2
circus,le cirque,"circus, i, m",m,2,circulaire,,2
ager,le champ,"ager, agri, m",m,2,agricole,,2
puer,l'enfant,"puer, pueri, m",m,2,puéril,,2
gladiator,le gladiateur,"gladiator, gladiatoris, m",m,3,,,2
statua,la statue,"statua, ae, f",f,1,statuaire,,3
dea,la déesse,"dea, ae, f",f,1,,,3
terra,la terre,"terra, ae, f",f,1,Méditerranée,,3
medicina,la médecine,"medicina, ae, f",f,1,médicinal,,3
poeta,le poète,"poeta, ae, f",f,1,poétique,,3
mercatura,le commerce,"mercatura, ae, f",f,1,mercantile,,3
via,la route,"via, ae, f",f,1,viaduc,,3
praeda,le butin,"praeda, ae, f",f,1,prédateur,,3
victoria,la victoire,"victoria, ae, f",f,1,victorieux,,3
deus,le dieu,"deus, i, m",m,2,déifier,,3
morbus,la maladie,"morbus, i, m",m,2,morbide,,3
Mercurius,Mercure,"Mercurius, i, m",m,2,,,3
nuntius,"le messager, le message","nuntius, i, m",m,2,,,3
Iuppiter,Jupiter,"Iuppiter, Jovis, m",m,3,,,3
rex,le roi,"rex, regis, m",m,3,,,3
Apollo,Apollon,"Apollo, Apollinis, m",m,3,,,3
Mars,Mars,"Mars, Martis, m",m,3,,,3
miles,le soldat,"miles, militis, m",m,3,,,3
schola,l'école,"schola, ae, f",f,1,scolaire,,4
ianua,la porte (de maison),"ianua, ae, f",f,1,,,4
ferula,"la baguette, la férule","ferula, ae, f",f,1,,,4
tabula,la tablette,"tabula, ae, f",f,1,tabulateur,,4
sententia,la phrase,"sententia, ae, f",f,1,sentence,,4
discipulus,l'élève,"discipulus, i, m",m,2,disciple,,4
ludus,"le jeu, l'école","ludus, i, m",m,2,,,4
magister,le maître (d'école),"magister, magistri, m",m,2,magistral,,4
numerus,le nombre,"numerus, i, m",m,2,numéro,,4
liber,le livre,"liber, liberi, m",m,2,librairie,,4
silentium,le silence,"silentium, i, n ",n,2,,,4
verbum,la parole,"verbum, i, n",n,2,verbal,,4
scriptum,l'écrit,"scriptum, i, n",n,2,description,,4
turba,"la foule, le désordre","turba, ae, f",f,1,perturber,,5
laetitia,la joie,"laetitia, ae, f",f,1,,,5
oculus,l'oeil,"oculus, i, m",m,2,oculiste,,5
retiarius,le rétiaire,"retiarius, i, m",m,2,,,5
gladius,le glaive,"gladius, i, m",m,2,gladiteur,,5
ursus,l'ours,"ursus, i, m",m,2,,,5
elephantus,l'éléphant,"elephantus, i, m",m,2,,,5
amphitheatrum,l'amphithéâtre,"amphitheatrum, i, n",n,2,,,5
spectaculum,le spectacle,"spectaculum, i, n",n,2,spectaculaire,,5
Caesar,César,"Caesar, Caesaris, m",m,3,,,5
panis,le pain,"panis, panis, m",m,3,"panade, panification",,5
